tid,dir,lav,cav,time,time_nr,day,date
3,0,153,161,28800,24,1,17063
3,1,103,118,28800,24,1,17063
1,0,46,56,30000,25,1,17063
1,1,123,119,30000,25,1,17063
2,0,129,122,30000,25,1,17063
3,0,161,167,30000,25,1,17063
3,1,118,168,30000,25,1,17063
1,0,56,41,31200,26,1,17063
1,1,119,116,31200,26,1,17063
2,0,122,98,31200,26,1,17063
3,0,167,138,31200,26,1,17063
3,1,168,161,31200,26,1,17063
1,0,41,50,32400,27,1,17063
1,1,116,120,32400,27,1,17063
2,0,98,89,32400,27,1,17063
3,0,138,174,32400,27,1,17063
3,1,161,145,32400,27,1,17063
1,0,50,49,33600,28,1,17063
1,1,120,151,33600,28,1,17063
2,0,89,78,33600,28,1,17063
3,0,174,144,33600,28,1,17063
3,1,145,125,33600,28,1,17063
1,0,49,44,34800,29,1,17063
1,1,151,131,34800,29,1,17063
2,0,78,59,34800,29,1,17063
3,0,144,148,34800,29,1,17063
3,1,125,116,34800,29,1,17063
1,0,44,44,36000,30,1,17063
1,1,131,101,36000,30,1,17063
2,0,59,71,36000,30,1,17063
3,0,148,104,36000,30,1,17063
3,1,116,117,36000,30,1,17063
1,0,44,44,37200,31,1,17063
1,1,101,105,37200,31,1,17063
2,0,71,88,37200,31,1,17063
3,0,104,111,37200,31,1,17063
3,1,117,87,37200,31,1,17063
1,0,44,44,38400,32,1,17063
1,1,105,102,38400,32,1,17063
2,0,88,65,38400,32,1,17063
3,0,111,122,38400,32,1,17063
3,1,87,85,38400,32,1,17063
1,0,44,39,39600,33,1,17063
1,1,102,86,39600,33,1,17063
2,0,65,50,39600,33,1,17063
3,0,122,111,39600,33,1,17063
3,1,85,73,39600,33,1,17063
1,0,39,30,40800,34,1,17063
1,1,86,76,40800,34,1,17063
2,0,50,61,40800,34,1,17063
3,0,111,82,40800,34,1,17063
3,1,73,72,40800,34,1,17063
1,0,30,34,42000,35,1,17063
1,1,76,100,42000,35,1,17063
2,0,61,46,42000,35,1,17063
3,0,82,91,42000,35,1,17063
3,1,72,73,42000,35,1,17063
1,0,34,45,43200,36,1,17063
1,1,100,99,43200,36,1,17063
2,0,46,87,43200,36,1,17063
3,0,91,104,43200,36,1,17063
3,1,73,94,43200,36,1,17063
1,0,45,44,44400,37,1,17063
1,1,99,70,44400,37,1,17063
2,0,87,66,44400,37,1,17063
3,0,104,91,44400,37,1,17063
3,1,94,86,44400,37,1,17063
1,0,44,53,45600,38,1,17063
1,1,70,79,45600,38,1,17063
2,0,66,69,45600,38,1,17063
3,0,91,122,45600,38,1,17063
3,1,86,94,45600,38,1,17063
1,0,53,57,46800,39,1,17063
1,1,79,100,46800,39,1,17063
2,0,69,81,46800,39,1,17063
3,0,122,117,46800,39,1,17063
3,1,94,91,46800,39,1,17063
1,0,57,61,48000,40,1,17063
1,1,100,108,48000,40,1,17063
2,0,81,95,48000,40,1,17063
3,0,117,107,48000,40,1,17063
3,1,91,110,48000,40,1,17063
1,0,61,53,49200,41,1,17063
1,1,108,106,49200,41,1,17063
2,0,95,67,49200,41,1,17063
3,0,107,131,49200,41,1,17063
3,1,110,100,49200,41,1,17063
1,0,53,55,50400,42,1,17063
1,1,106,101,50400,42,1,17063
2,0,67,66,50400,42,1,17063
3,0,131,100,50400,42,1,17063
3,1,100,95,50400,42,1,17063
1,0,55,52,51600,43,1,17063
1,1,101,100,51600,43,1,17063
2,0,66,62,51600,43,1,17063
3,0,100,84,51600,43,1,17063
3,1,95,99,51600,43,1,17063
1,0,52,52,52800,44,1,17063
1,1,100,101,52800,44,1,17063
2,0,62,79,52800,44,1,17063
3,0,84,107,52800,44,1,17063
3,1,99,93,52800,44,1,17063
1,0,52,48,54000,45,1,17063
1,1,101,77,54000,45,1,17063
2,0,79,77,54000,45,1,17063
3,0,107,117,54000,45,1,17063
3,1,93,75,54000,45,1,17063
1,0,48,57,55200,46,1,17063
1,1,77,104,55200,46,1,17063
2,0,77,67,55200,46,1,17063
3,0,117,109,55200,46,1,17063
3,1,75,95,55200,46,1,17063
1,0,57,43,56400,47,1,17063
1,1,104,92,56400,47,1,17063
2,0,67,74,56400,47,1,17063
3,0,109,115,56400,47,1,17063
3,1,95,83,56400,47,1,17063
1,0,43,42,57600,48,1,17063
1,1,92,110,57600,48,1,17063
2,0,74,76,57600,48,1,17063
3,0,115,123,57600,48,1,17063
3,1,83,101,57600,48,1,17063
1,0,42,46,58800,49,1,17063
1,1,110,122,58800,49,1,17063
2,0,76,86,58800,49,1,17063
3,0,123,111,58800,49,1,17063
3,1,101,90,58800,49,1,17063
1,0,46,55,60000,50,1,17063
1,1,122,116,60000,50,1,17063
2,0,86,99,60000,50,1,17063
3,0,111,116,60000,50,1,17063
3,1,90,115,60000,50,1,17063
1,0,55,36,61200,51,1,17063
1,1,116,96,61200,51,1,17063
2,0,99,85,61200,51,1,17063
3,0,116,110,61200,51,1,17063
3,1,115,86,61200,51,1,17063
1,0,36,34,62400,52,1,17063
1,1,96,116,62400,52,1,17063
2,0,85,72,62400,52,1,17063
3,0,110,118,62400,52,1,17063
3,1,86,85,62400,52,1,17063
1,0,34,24,63600,53,1,17063
1,1,116,112,63600,53,1,17063
2,0,72,53,63600,53,1,17063
3,0,118,95,63600,53,1,17063
3,1,85,91,63600,53,1,17063
1,0,24,29,64800,54,1,17063
1,1,112,67,64800,54,1,17063
2,0,53,55,64800,54,1,17063
3,0,95,94,64800,54,1,17063
3,1,91,73,64800,54,1,17063
1,0,29,27,66000,55,1,17063
1,1,67,94,66000,55,1,17063
2,0,55,50,66000,55,1,17063
3,0,94,56,66000,55,1,17063
3,1,73,78,66000,55,1,17063
1,0,27,18,67200,56,1,17063
1,1,94,65,67200,56,1,17063
2,0,50,49,67200,56,1,17063
3,0,56,61,67200,56,1,17063
3,1,78,77,67200,56,1,17063
1,0,18,13,68400,57,1,17063
1,1,65,62,68400,57,1,17063
2,0,49,44,68400,57,1,17063
3,0,61,51,68400,57,1,17063
3,1,77,44,68400,57,1,17063
1,0,13,22,69600,58,1,17063
1,1,62,44,69600,58,1,17063
2,0,44,49,69600,58,1,17063
3,0,51,61,69600,58,1,17063
3,1,44,45,69600,58,1,17063
1,0,22,27,70800,59,1,17063
1,1,44,41,70800,59,1,17063
2,0,49,41,70800,59,1,17063
3,0,61,50,70800,59,1,17063
3,1,45,46,70800,59,1,17063
1,0,27,17,72000,60,1,17064
1,1,41,48,72000,60,1,17064
2,0,41,56,72000,60,1,17064
3,0,50,55,72000,60,1,17064
3,1,46,32,72000,60,1,17064
1,0,17,16,73200,61,1,17064
1,1,48,34,73200,61,1,17064
2,0,56,21,73200,61,1,17064
3,0,55,29,73200,61,1,17064
3,1,32,40,73200,61,1,17064
1,0,16,17,74400,62,1,17064
1,1,34,39,74400,62,1,17064
2,0,21,35,74400,62,1,17064
3,0,29,41,74400,62,1,17064
3,1,40,42,74400,62,1,17064
1,0,17,17,75600,63,1,17064
1,1,39,24,75600,63,1,17064
2,0,35,29,75600,63,1,17064
3,0,41,32,75600,63,1,17064
3,1,42,30,75600,63,1,17064
1,0,17,22,76800,64,1,17064
1,1,24,35,76800,64,1,17064
2,0,29,20,76800,64,1,17064
3,0,32,34,76800,64,1,17064
3,1,30,37,76800,64,1,17064
1,0,22,5,78000,65,1,17064
1,1,35,30,78000,65,1,17064
2,0,20,24,78000,65,1,17064
3,0,34,30,78000,65,1,17064
3,1,37,33,78000,65,1,17064
1,0,5,4,79200,66,1,17064
1,1,30,21,79200,66,1,17064
2,0,24,21,79200,66,1,17064
3,0,30,22,79200,66,1,17064
3,1,33,16,79200,66,1,17064
1,0,4,9,80400,67,1,17064
1,1,21,24,80400,67,1,17064
2,0,21,12,80400,67,1,17064
3,0,22,24,80400,67,1,17064
3,1,16,13,80400,67,1,17064
1,0,9,3,81600,68,1,17064
1,1,24,23,81600,68,1,17064
2,0,12,24,81600,68,1,17064
3,0,24,12,81600,68,1,17064
3,1,13,21,81600,68,1,17064
1,0,3,1,82800,69,1,17064
1,1,23,16,82800,69,1,17064
2,0,24,16,82800,69,1,17064
3,0,12,6,82800,69,1,17064
3,1,21,7,82800,69,1,17064
1,0,1,7,84000,70,1,17064
1,1,16,10,84000,70,1,17064
2,0,16,6,84000,70,1,17064
3,0,6,11,84000,70,1,17064
3,1,7,11,84000,70,1,17064
1,0,7,6,85200,71,1,17064
1,1,10,13,85200,71,1,17064
2,0,6,12,85200,71,1,17064
3,0,11,22,85200,71,1,17064
3,1,11,16,85200,71,1,17064
1,0,6,14,0,0,2,17064
1,1,13,139,0,0,2,17064
3,0,22,17,0,0,2,17064
3,1,16,231,0,0,2,17064
1,0,14,13,1200,1,2,17064
1,1,139,80,1200,1,2,17064
3,0,17,13,1200,1,2,17064
3,1,231,148,1200,1,2,17064
1,0,13,7,2400,2,2,17064
1,1,80,37,2400,2,2,17064
2,0,2,2,2400,2,2,17064
3,0,13,17,2400,2,2,17064
3,1,148,92,2400,2,2,17064
1,0,7,6,3600,3,2,17064
1,1,37,6,3600,3,2,17064
3,0,17,15,3600,3,2,17064
3,1,92,9,3600,3,2,17064
1,0,6,5,4800,4,2,17064
1,1,6,8,4800,4,2,17064
3,0,15,14,4800,4,2,17064
3,1,9,10,4800,4,2,17064
1,0,5,5,6000,5,2,17064
1,1,8,11,6000,5,2,17064
3,0,14,18,6000,5,2,17064
3,1,10,5,6000,5,2,17064
1,0,5,6,7200,6,2,17064
1,1,11,8,7200,6,2,17064
3,0,18,12,7200,6,2,17064
3,1,5,4,7200,6,2,17064
1,0,6,9,8400,7,2,17064
1,1,8,12,8400,7,2,17064
3,0,12,17,8400,7,2,17064
3,1,4,4,8400,7,2,17064
1,0,9,7,9600,8,2,17064
1,1,12,8,9600,8,2,17064
3,0,17,13,9600,8,2,17064
3,1,4,8,9600,8,2,17064
1,0,7,10,10800,9,2,17064
1,1,8,2,10800,9,2,17064
3,0,13,7,10800,9,2,17064
3,1,8,6,10800,9,2,17064
1,0,10,8,12000,10,2,17064
1,1,2,13,12000,10,2,17064
3,0,7,8,12000,10,2,17064
3,1,6,3,12000,10,2,17064
1,0,8,5,13200,11,2,17064
1,1,13,18,13200,11,2,17064
3,0,8,11,13200,11,2,17064
3,1,3,6,13200,11,2,17064
1,0,5,11,14400,12,2,17064
1,1,18,20,14400,12,2,17064
3,0,11,10,14400,12,2,17064
3,1,6,6,14400,12,2,17064
1,0,11,8,15600,13,2,17064
1,1,20,17,15600,13,2,17064
3,0,10,9,15600,13,2,17064
3,1,6,6,15600,13,2,17064
1,0,8,15,16800,14,2,17064
1,1,17,20,16800,14,2,17064
3,0,9,11,16800,14,2,17064
3,1,6,4,16800,14,2,17064
1,0,15,9,18000,15,2,17064
1,1,20,27,18000,15,2,17064
3,0,11,12,18000,15,2,17064
3,1,4,12,18000,15,2,17064
1,0,9,4,19200,16,2,17064
1,1,27,37,19200,16,2,17064
2,0,5,18,19200,16,2,17064
3,0,12,17,19200,16,2,17064
3,1,12,12,19200,16,2,17064
1,0,4,10,20400,17,2,17064
1,1,37,35,20400,17,2,17064
2,0,18,21,20400,17,2,17064
3,0,17,20,20400,17,2,17064
3,1,12,18,20400,17,2,17064
1,0,10,13,21600,18,2,17064
1,1,35,47,21600,18,2,17064
2,0,21,33,21600,18,2,17064
3,0,20,31,21600,18,2,17064
3,1,18,24,21600,18,2,17064
1,0,13,20,22800,19,2,17064
1,1,47,59,22800,19,2,17064
2,0,33,31,22800,19,2,17064
3,0,31,43,22800,19,2,17064
3,1,24,43,22800,19,2,17064
1,0,20,29,24000,20,2,17064
1,1,59,69,24000,20,2,17064
2,0,31,54,24000,20,2,17064
3,0,43,80,24000,20,2,17064
3,1,43,66,24000,20,2,17064
1,0,29,38,25200,21,2,17064
1,1,69,88,25200,21,2,17064
2,0,54,79,25200,21,2,17064
3,0,80,113,25200,21,2,17064
3,1,66,83,25200,21,2,17064
1,0,38,30,26400,22,2,17064
1,1,88,126,26400,22,2,17064
2,0,79,86,26400,22,2,17064
3,0,113,141,26400,22,2,17064
3,1,83,97,26400,22,2,17064
1,0,30,31,27600,23,2,17064
1,1,126,139,27600,23,2,17064
2,0,86,93,27600,23,2,17064
3,0,141,136,27600,23,2,17064
3,1,97,122,27600,23,2,17064
1,0,31,53,28800,24,2,17064
1,1,139,132,28800,24,2,17064
2,0,93,112,28800,24,2,17064
3,0,136,145,28800,24,2,17064
3,1,122,154,28800,24,2,17064
1,0,53,50,30000,25,2,17064
1,1,132,151,30000,25,2,17064
2,0,112,111,30000,25,2,17064
3,0,145,173,30000,25,2,17064
3,1,154,209,30000,25,2,17064
1,0,50,45,31200,26,2,17064
1,1,151,131,31200,26,2,17064
2,0,111,112,31200,26,2,17064
3,0,173,154,31200,26,2,17064
3,1,209,210,31200,26,2,17064
1,0,45,51,32400,27,2,17064
1,1,131,150,32400,27,2,17064
2,0,112,105,32400,27,2,17064
3,0,154,144,32400,27,2,17064
3,1,210,191,32400,27,2,17064
1,0,51,68,33600,28,2,17064
1,1,150,142,33600,28,2,17064
2,0,105,99,33600,28,2,17064
3,0,144,142,33600,28,2,17064
3,1,191,222,33600,28,2,17064
1,0,68,59,34800,29,2,17064
1,1,142,173,34800,29,2,17064
2,0,99,87,34800,29,2,17064
3,0,142,144,34800,29,2,17064
3,1,222,174,34800,29,2,17064
1,0,59,56,36000,30,2,17064
1,1,173,96,36000,30,2,17064
2,0,87,85,36000,30,2,17064
3,0,144,123,36000,30,2,17064
3,1,174,81,36000,30,2,17064
1,0,56,60,37200,31,2,17064
1,1,96,92,37200,31,2,17064
2,0,85,76,37200,31,2,17064
3,0,123,137,37200,31,2,17064
3,1,81,97,37200,31,2,17064
1,0,60,63,38400,32,2,17064
1,1,92,92,38400,32,2,17064
2,0,76,80,38400,32,2,17064
3,0,137,114,38400,32,2,17064
3,1,97,77,38400,32,2,17064
1,0,63,57,39600,33,2,17064
1,1,92,90,39600,33,2,17064
2,0,80,63,39600,33,2,17064
3,0,114,120,39600,33,2,17064
3,1,77,79,39600,33,2,17064
1,0,57,64,40800,34,2,17064
1,1,90,98,40800,34,2,17064
2,0,63,46,40800,34,2,17064
3,0,120,102,40800,34,2,17064
3,1,79,82,40800,34,2,17064
1,0,64,50,42000,35,2,17064
1,1,98,87,42000,35,2,17064
2,0,46,55,42000,35,2,17064
3,0,102,111,42000,35,2,17064
3,1,82,83,42000,35,2,17064
1,0,50,53,43200,36,2,17064
1,1,87,86,43200,36,2,17064
2,0,55,73,43200,36,2,17064
3,0,111,101,43200,36,2,17064
3,1,83,109,43200,36,2,17064
1,0,53,62,44400,37,2,17064
1,1,86,82,44400,37,2,17064
2,0,73,88,44400,37,2,17064
3,0,101,122,44400,37,2,17064
3,1,109,78,44400,37,2,17064
1,0,62,75,45600,38,2,17064
1,1,82,70,45600,38,2,17064
2,0,88,80,45600,38,2,17064
3,0,122,133,45600,38,2,17064
3,1,78,92,45600,38,2,17064
1,0,75,98,46800,39,2,17064
1,1,70,99,46800,39,2,17064
2,0,80,75,46800,39,2,17064
3,0,133,130,46800,39,2,17064
3,1,92,94,46800,39,2,17064
1,0,98,82,48000,40,2,17064
1,1,99,95,48000,40,2,17064
2,0,75,96,48000,40,2,17064
3,0,130,143,48000,40,2,17064
3,1,94,88,48000,40,2,17064
1,0,82,84,49200,41,2,17064
1,1,95,103,49200,41,2,17064
2,0,96,69,49200,41,2,17064
3,0,143,136,49200,41,2,17064
3,1,88,99,49200,41,2,17064
1,0,84,81,50400,42,2,17064
1,1,103,105,50400,42,2,17064
2,0,69,81,50400,42,2,17064
3,0,136,131,50400,42,2,17064
3,1,99,99,50400,42,2,17064
1,0,81,90,51600,43,2,17064
1,1,105,94,51600,43,2,17064
2,0,81,72,51600,43,2,17064
3,0,131,141,51600,43,2,17064
3,1,99,81,51600,43,2,17064
1,0,90,67,52800,44,2,17064
1,1,94,99,52800,44,2,17064
2,0,72,70,52800,44,2,17064
3,0,141,122,52800,44,2,17064
3,1,81,89,52800,44,2,17064
1,0,67,71,54000,45,2,17064
1,1,99,78,54000,45,2,17064
2,0,70,62,54000,45,2,17064
3,0,122,124,54000,45,2,17064
3,1,89,80,54000,45,2,17064
1,0,71,64,55200,46,2,17064
1,1,78,79,55200,46,2,17064
2,0,62,69,55200,46,2,17064
3,0,124,132,55200,46,2,17064
3,1,80,73,55200,46,2,17064
1,0,64,73,56400,47,2,17064
1,1,79,71,56400,47,2,17064
2,0,69,69,56400,47,2,17064
3,0,132,131,56400,47,2,17064
3,1,73,87,56400,47,2,17064
1,0,73,48,57600,48,2,17064
1,1,71,95,57600,48,2,17064
2,0,69,82,57600,48,2,17064
3,0,131,122,57600,48,2,17064
3,1,87,85,57600,48,2,17064
1,0,48,57,58800,49,2,17064
1,1,95,96,58800,49,2,17064
2,0,82,76,58800,49,2,17064
3,0,122,113,58800,49,2,17064
3,1,85,97,58800,49,2,17064
1,0,57,48,60000,50,2,17064
1,1,96,95,60000,50,2,17064
2,0,76,64,60000,50,2,17064
3,0,113,122,60000,50,2,17064
3,1,97,96,60000,50,2,17064
1,0,48,38,61200,51,2,17064
1,1,95,111,61200,51,2,17064
2,0,64,82,61200,51,2,17064
3,0,122,126,61200,51,2,17064
3,1,96,84,61200,51,2,17064
1,0,38,42,62400,52,2,17064
1,1,111,110,62400,52,2,17064
2,0,82,86,62400,52,2,17064
3,0,126,116,62400,52,2,17064
3,1,84,86,62400,52,2,17064
1,0,42,38,63600,53,2,17064
1,1,110,133,63600,53,2,17064
2,0,86,85,63600,53,2,17064
3,0,116,95,63600,53,2,17064
3,1,86,106,63600,53,2,17064
1,0,38,26,64800,54,2,17064
1,1,133,78,64800,54,2,17064
2,0,85,77,64800,54,2,17064
3,0,95,81,64800,54,2,17064
3,1,106,90,64800,54,2,17064
1,0,26,29,66000,55,2,17064
1,1,78,60,66000,55,2,17064
2,0,77,60,66000,55,2,17064
3,0,81,100,66000,55,2,17064
3,1,90,84,66000,55,2,17064
1,0,29,20,67200,56,2,17064
1,1,60,53,67200,56,2,17064
2,0,60,56,67200,56,2,17064
3,0,100,63,67200,56,2,17064
3,1,84,88,67200,56,2,17064
1,0,20,17,68400,57,2,17064
1,1,53,44,68400,57,2,17064
2,0,56,61,68400,57,2,17064
3,0,63,59,68400,57,2,17064
3,1,88,53,68400,57,2,17064
1,0,17,29,69600,58,2,17064
1,1,44,52,69600,58,2,17064
2,0,61,27,69600,58,2,17064
3,0,59,52,69600,58,2,17064
3,1,53,52,69600,58,2,17064
1,0,29,21,70800,59,2,17064
1,1,52,49,70800,59,2,17064
2,0,27,40,70800,59,2,17064
3,0,52,48,70800,59,2,17064
3,1,52,50,70800,59,2,17064
1,0,21,12,72000,60,2,17065
1,1,49,34,72000,60,2,17065
2,0,40,35,72000,60,2,17065
3,0,48,62,72000,60,2,17065
3,1,50,62,72000,60,2,17065
1,0,12,16,73200,61,2,17065
1,1,34,42,73200,61,2,17065
2,0,35,31,73200,61,2,17065
3,0,62,55,73200,61,2,17065
3,1,62,48,73200,61,2,17065
1,0,16,16,74400,62,2,17065
1,1,42,37,74400,62,2,17065
2,0,31,30,74400,62,2,17065
3,0,55,45,74400,62,2,17065
3,1,48,49,74400,62,2,17065
1,0,16,17,75600,63,2,17065
1,1,37,41,75600,63,2,17065
2,0,30,27,75600,63,2,17065
3,0,45,47,75600,63,2,17065
3,1,49,29,75600,63,2,17065
1,0,17,29,76800,64,2,17065
1,1,41,42,76800,64,2,17065
2,0,27,21,76800,64,2,17065
3,0,47,38,76800,64,2,17065
3,1,29,44,76800,64,2,17065
1,0,29,37,78000,65,2,17065
1,1,42,39,78000,65,2,17065
2,0,21,5,78000,65,2,17065
3,0,38,32,78000,65,2,17065
3,1,44,38,78000,65,2,17065
1,0,37,30,79200,66,2,17065
1,1,39,32,79200,66,2,17065
2,0,5,5,79200,66,2,17065
3,0,32,27,79200,66,2,17065
3,1,38,23,79200,66,2,17065
1,0,30,17,80400,67,2,17065
1,1,32,30,80400,67,2,17065
2,0,5,6,80400,67,2,17065
3,0,27,22,80400,67,2,17065
3,1,23,33,80400,67,2,17065
1,0,17,19,81600,68,2,17065
1,1,30,24,81600,68,2,17065
3,0,22,29,81600,68,2,17065
3,1,33,34,81600,68,2,17065
1,0,19,20,82800,69,2,17065
1,1,24,12,82800,69,2,17065
3,0,29,13,82800,69,2,17065
3,1,34,10,82800,69,2,17065
1,0,20,7,84000,70,2,17065
1,1,12,22,84000,70,2,17065
2,0,5,7,84000,70,2,17065
3,0,13,27,84000,70,2,17065
3,1,10,20,84000,70,2,17065
1,0,7,11,85200,71,2,17065
1,1,22,14,85200,71,2,17065
2,0,7,5,85200,71,2,17065
3,0,27,23,85200,71,2,17065
3,1,20,13,85200,71,2,17065
1,0,11,12,0,0,3,17065
1,1,14,97,0,0,3,17065
2,0,5,2,0,0,3,17065
3,0,23,19,0,0,3,17065
3,1,13,124,0,0,3,17065
1,0,12,6,1200,1,3,17065
1,1,97,64,1200,1,3,17065
2,0,2,2,1200,1,3,17065
3,0,19,17,1200,1,3,17065
3,1,124,116,1200,1,3,17065
1,0,6,7,2400,2,3,17065
1,1,64,41,2400,2,3,17065
2,0,2,2,2400,2,3,17065
3,0,17,13,2400,2,3,17065
3,1,116,54,2400,2,3,17065
1,0,7,7,3600,3,3,17065
1,1,41,9,3600,3,3,17065
3,0,13,17,3600,3,3,17065
3,1,54,7,3600,3,3,17065
1,0,7,4,4800,4,3,17065
1,1,9,8,4800,4,3,17065
3,0,17,16,4800,4,3,17065
3,1,7,5,4800,4,3,17065
1,0,4,6,6000,5,3,17065
1,1,8,13,6000,5,3,17065
2,0,1,1,6000,5,3,17065
3,0,16,17,6000,5,3,17065
3,1,5,7,6000,5,3,17065
1,0,6,6,7200,6,3,17065
1,1,13,10,7200,6,3,17065
3,0,17,9,7200,6,3,17065
3,1,7,7,7200,6,3,17065
1,0,6,10,8400,7,3,17065
1,1,10,7,8400,7,3,17065
3,0,9,12,8400,7,3,17065
3,1,7,7,8400,7,3,17065
1,0,10,6,9600,8,3,17065
1,1,7,10,9600,8,3,17065
3,0,12,13,9600,8,3,17065
3,1,7,3,9600,8,3,17065
1,0,6,5,10800,9,3,17065
1,1,10,12,10800,9,3,17065
3,0,13,14,10800,9,3,17065
3,1,3,4,10800,9,3,17065
1,0,5,6,12000,10,3,17065
1,1,12,15,12000,10,3,17065
3,0,14,10,12000,10,3,17065
3,1,4,3,12000,10,3,17065
1,0,6,10,13200,11,3,17065
1,1,15,19,13200,11,3,17065
3,0,10,11,13200,11,3,17065
3,1,3,6,13200,11,3,17065
1,0,10,16,14400,12,3,17065
1,1,19,18,14400,12,3,17065
3,0,11,14,14400,12,3,17065
3,1,6,3,14400,12,3,17065
1,0,16,14,15600,13,3,17065
1,1,18,18,15600,13,3,17065
3,0,14,12,15600,13,3,17065
3,1,3,3,15600,13,3,17065
1,0,14,11,16800,14,3,17065
1,1,18,18,16800,14,3,17065
3,0,12,15,16800,14,3,17065
3,1,3,5,16800,14,3,17065
1,0,11,10,18000,15,3,17065
1,1,18,31,18000,15,3,17065
3,0,15,16,18000,15,3,17065
3,1,5,6,18000,15,3,17065
1,0,10,14,19200,16,3,17065
1,1,31,28,19200,16,3,17065
2,0,1,5,19200,16,3,17065
3,0,16,16,19200,16,3,17065
3,1,6,11,19200,16,3,17065
1,0,14,28,20400,17,3,17065
1,1,28,30,20400,17,3,17065
2,0,5,6,20400,17,3,17065
3,0,16,25,20400,17,3,17065
3,1,11,11,20400,17,3,17065
1,0,28,36,21600,18,3,17065
1,1,30,36,21600,18,3,17065
2,0,6,6,21600,18,3,17065
3,0,25,32,21600,18,3,17065
3,1,11,20,21600,18,3,17065
1,0,36,41,22800,19,3,17065
1,1,36,50,22800,19,3,17065
2,0,6,9,22800,19,3,17065
3,0,32,47,22800,19,3,17065
3,1,20,42,22800,19,3,17065
1,0,41,75,24000,20,3,17065
1,1,50,71,24000,20,3,17065
2,0,9,14,24000,20,3,17065
3,0,47,85,24000,20,3,17065
3,1,42,37,24000,20,3,17065
1,0,75,78,25200,21,3,17065
